random_spout,complete_data,n_sesion,date,ID,start,end,lickometer_number,com,arduino,pc,init_licks_0,end_licks_0,init_licks_2,end_licks_2,init_events_0,end_events_0,init_events_2,end_events_2
NA ,1,1,20210426,217,12:22:20,13:22:20,1,5,0,1,0,719,0,1563,0,25,0,33
NA ,1,1,20210426,218,12:22:20,13:22:20,2,7,2,1,0,918,0,363,0,25,0,14
NA ,1,1,20210426,219,12:22:20,13:22:20,3,6,1,1,0,337,0,327,0,18,0,8
NA ,1,1,20210426,220,12:21:57,13:21:57,4,3,0,2,0,86,0,54,0,12,0,5
NA ,1,1,20210426,221,14:01:13,15:02:00,1,5,0,1,5,207,5,150,1,11,1,11
NA ,1,1,20210426,222,14:01:13,15:02:00,2,7,2,1,5,486,5,414,1,28,1,19
NA ,1,1,20210426,223,14:01:13,15:02:00,3,6,1,1,5,239,5,17,1,10,1,3
NA ,1,1,20210426,224,14:00:47,15:01:31,4,3,0,2,101,314,69,231,15,27,8,16
NA ,1,2,20210427,217,12:00:27,13:00:27,1,5,0,1,10,701,10,1095,2,28,2,32
NA ,1,2,20210427,218,12:00:27,13:00:27,2,7,2,1,10,164,10,83,2,7,2,5
NA ,1,2,20210427,219,12:00:27,13:00:27,3,6,1,1,10,663,10,1178,2,21,2,31
NA ,1,2,20210427,220,12:00:04,13:00:02,4,3,0,2,15,272,22,140,3,11,3,12
NA ,1,2,20210427,221,13:25:53,14:25:53,1,5,0,1,711,824,1105,1124,30,33,34,37
NA ,1,2,20210427,222,13:25:53,14:25:53,2,7,2,1,164,164,83,83,7,7,5,5
NA ,1,2,20210427,223,13:25:53,14:24:53,3,6,1,1,673,1599,1187,1285,23,50,33,40
NA ,1,2,20210427,224,13:25:29,15:25:53,4,3,0,2,282,2025,152,239,13,61,14,23
NA ,1,3,20210428,217,12:08:51,13:08:52,1,5,0,1,15,122,10,79,2,10,3,10
NA ,1,3,20210428,218,12:08:51,13:08:52,2,7,2,1,10,1270,10,166,2,44,2,13
NA ,1,3,20210428,219,12:08:51,13:08:52,3,6,1,1,10,557,10,1230,2,25,2,30
NA ,1,3,20210428,220,12:08:24,13:08:22,4,3,0,2,10,84,10,528,2,12,2,18
NA ,1,3,20210428,221,13:44:38,14:44:45,1,5,0,1,5,743,5,139,1,38,1,11
NA ,1,3,20210428,222,13:44:38,14:44:45,2,7,2,1,5,312,5,219,1,22,1,19
NA ,1,3,20210428,223,13:44:38,14:44:45,3,6,1,1,5,368,5,43,1,11,1,3
NA ,1,3,20210428,224,13:44:38,15:44:14,4,3,0,2,5,299,5,266,1,20,1,13
NA ,1,4,20210429,217,12:00:28,13:00:28,1,5,0,1,5,340,5,1081,1,22,1,33
NA ,1,4,20210429,218,12:00:28,13:00:28,2,7,2,1,5,733,5,42,1,29,1,3
NA ,0,4,20210429,219,12:00:28,13:00:28,3,6,1,1,5,480,5,414,1,22,1,12
NA ,1,4,20210429,220,12:00:00,13:00:17,4,3,0,2,5,212,5,1296,1,12,1,37
NA ,1,4,20210429,221,13:30:46,14:30:46,1,5,0,1,5,324,5,93,1,29,1,8
NA ,1,4,20210429,222,13:30:46,14:30:46,2,7,2,1,5,309,5,229,1,27,1,17
NA ,0,4,20210429,223,13:30:46,14:30:46,3,6,1,1,5,30,5,5,1,2,1,1
NA ,1,4,20210429,224,13:30:19,14:30:21,4,3,0,2,8,496,21,107,2,33,2,10
NA ,1,5,20210430,217,12:08:43,13:09:09,1,5,0,1,10,976,10,1295,2,33,2,35
NA ,1,5,20210430,218,13:08:43,13:09:09,2,7,1,1,10,615,10,281,2,26,2,14
NA ,1,5,20210430,219,12:08:52,13:08:40,3,4,1,2,10,1144,10,759,2,24,2,19
NA ,1,5,20210430,220,12:08:52,13:08:40,4,3,0,2,10,184,10,776,2,14,2,38
NA ,0,5,20210430,221,13:39:40,14:39:10,1,5,0,1,5,243,5,44,1,20,1,5
