ID,sensor,tiempo,actividad,evento,exito
397,0,21558,1,0,0
397,1,22735,1,0,0
398,0,19904,1,0,0
398,1,20677,1,0,0
399,0,21330,1,0,0
399,1,22327,1,0,0
400,0,22872,1,0,0
400,1,23917,1,0,0
397,0,343343,2,0,0
397,0,343452,3,0,0
397,0,343563,4,0,0
397,0,344474,5,1,1
397,0,344486,6,1,1
397,0,344598,7,1,1
397,0,344712,8,1,1
399,0,365699,2,0,0
397,1,384443,2,0,0
397,1,384628,3,0,0
397,1,384730,4,0,0
397,1,385637,5,1,1
397,1,385742,6,1,1
397,1,385863,7,1,1
397,1,385992,8,1,1
399,1,382808,2,0,0
399,1,382900,3,0,0
399,1,383101,4,0,0
399,0,393625,3,0,0
399,0,394570,4,0,0
400,1,405604,2,0,0
400,1,405690,3,0,0
400,1,405780,4,0,0
400,1,406676,5,1,1
400,1,421075,6,1,1
400,1,421181,7,1,1
400,1,421267,8,1,1
400,1,421353,9,1,1
400,1,421446,10,1,1
400,1,421544,11,1,1
400,1,421645,12,1,1
400,1,421750,13,1,1
400,1,421860,14,1,1
400,1,421965,15,1,1
400,1,422075,16,1,1
398,0,425912,2,0,0
398,0,425989,3,0,0
398,0,426074,4,0,0
398,0,426961,5,1,1
398,0,427187,6,1,1
398,0,427298,7,1,1
398,0,427411,8,1,1
398,0,427520,9,1,1
398,0,427639,10,1,1
398,0,427747,11,1,1
397,0,434595,9,1,1
397,0,434701,10,1,1
397,0,434814,11,1,1
397,0,434928,12,1,1
397,0,435856,13,2,2
400,0,443738,2,0,0
400,0,443828,3,0,0
400,0,443921,4,0,0
400,0,444817,5,1,1
397,1,452307,9,1,1
397,1,452413,10,1,1
397,1,452500,11,1,1
397,1,452614,12,1,1
397,1,453528,13,2,2
397,0,468236,14,2,2
397,0,468334,15,2,2
397,1,488294,14,2,2
397,1,492668,15,2,2
397,1,492837,16,2,2
397,1,493048,17,2,2
397,1,493972,18,3,3
400,1,491198,17,1,1
400,1,491280,18,1,1
400,1,491366,19,1,1
400,1,491459,20,1,1
400,1,492367,21,2,2
400,1,492658,22,2,2
400,1,492767,23,2,2
400,1,492880,24,2,2
400,1,493111,25,2,2
400,1,493240,26,2,2
397,1,503508,19,3,3
397,1,503941,20,3,3
397,1,504153,21,3,3
397,1,504400,22,3,3
397,1,504769,23,3,3
397,1,504887,24,3,3
397,1,505142,25,3,3
399,0,498828,5,1,1
397,1,505412,26,3,3
399,0,498936,6,1,1
397,1,505534,27,3,3
399,0,499051,7,1,1
397,1,505663,28,3,3
399,0,499158,8,1,1
397,1,505796,29,3,3
399,0,499276,9,1,1
399,0,499493,10,1,1
397,1,506067,30,3,3
399,0,499601,11,1,1
397,1,506193,31,3,3
397,1,506331,32,3,3
399,0,499944,12,1,1
397,1,506483,33,3,3
399,0,500050,13,1,1
397,1,506616,34,3,3
399,0,500161,14,1,1
397,1,506755,35,3,3
399,0,500276,15,1,1
397,1,506876,36,3,3
397,1,507010,37,3,3
399,0,500504,16,1,1
397,1,507139,38,3,3
399,0,500623,17,1,1
399,0,500741,18,1,1
397,1,507277,39,3,3
399,0,500809,19,1,1
397,1,507414,40,3,3
399,0,500878,20,1,1
399,0,501008,21,1,1
397,1,507712,41,3,3
399,0,501294,22,1,1
397,1,507830,42,3,3
399,0,501404,23,1,1
399,0,501519,24,1,1
397,1,508097,43,3,3
399,0,501637,25,1,1
397,1,508215,44,3,3
399,0,501789,26,1,1
397,1,508352,45,3,3
399,0,501908,27,1,1
397,1,511997,46,3,3
399,0,509070,28,1,1
400,0,511171,6,1,1
400,0,511260,7,1,1
400,0,511343,8,1,1
400,0,511436,9,1,1
397,0,523036,16,2,2
397,0,523134,17,2,2
397,0,524043,18,3,3
399,0,529411,29,1,1
399,0,529499,30,1,1
399,0,529590,31,1,1
399,0,529696,32,1,1
399,0,530617,33,2,2
398,0,543137,12,1,1
398,0,543226,13,1,1
398,0,543311,14,1,1
398,0,543501,15,1,1
397,0,557074,19,3,3
397,0,557239,20,3,3
397,0,557341,21,3,3
397,0,557444,22,3,3
397,0,558359,23,4,4
397,0,558382,24,4,4
397,0,558508,25,4,4
397,0,558632,26,4,4
397,0,558758,27,4,4
397,0,558884,28,4,4
397,0,559005,29,4,4
397,0,559127,30,4,4
399,1,553771,5,1,1
399,1,553785,6,1,1
399,1,554010,7,1,1
399,1,554121,8,1,1
399,1,554342,9,1,1
399,1,554441,10,1,1
398,1,566608,2,0,0
398,1,566693,3,0,0
398,1,566782,4,0,0
398,1,567669,5,1,1
398,1,567682,6,1,1
398,1,567791,7,1,1
398,1,567907,8,1,1
398,1,568232,9,1,1
398,1,568627,10,1,1
398,1,568738,11,1,1
398,1,568854,12,1,1
398,1,568967,13,1,1
397,1,578482,47,3,3
397,1,578698,48,3,3
397,1,578796,49,3,3
397,1,578906,50,3,3
397,1,579829,51,4,4
397,1,579842,52,4,4
397,1,579958,53,4,4
397,1,580087,54,4,4
397,1,580213,55,4,4
397,1,580594,56,4,4
399,0,590054,34,2,2
399,0,590146,35,2,2
399,0,590237,36,2,2
399,0,590337,37,2,2
399,0,591229,38,3,3
397,1,608721,57,4,4
397,1,608840,58,4,4
397,1,608929,59,4,4
398,0,612107,16,2,2
398,0,612167,17,2,2
398,0,612272,18,2,2
398,0,612375,19,2,2
397,0,623117,31,4,4
397,0,623282,32,4,4
397,0,623376,33,4,4
397,0,623470,34,4,4
397,0,624477,35,5,5
398,0,646226,20,2,2
398,0,646311,21,2,2
398,0,646389,22,2,2
398,0,646984,23,2,2
398,0,647890,24,3,3
398,0,647920,25,3,3
398,0,648024,26,3,3
397,0,655374,36,5,5
397,0,655526,37,5,5
397,0,656053,38,5,5
397,0,656166,39,5,5
397,0,657094,40,6,6
400,0,652009,10,2,2
400,0,652340,11,2,2
400,0,652445,12,2,2
400,0,652570,13,2,2
400,0,652688,14,2,2
399,1,680273,11,1,1
399,1,680350,12,1,1
399,1,680434,13,1,1
399,1,680521,14,1,1
399,1,681427,15,2,2
399,1,681488,16,2,2
399,1,681610,17,2,2
399,1,681720,18,2,2
399,1,681835,19,2,2
399,1,682072,20,2,2
399,1,682205,21,2,2
399,1,682446,22,2,2
399,1,682805,23,2,2
399,1,683484,24,2,2
399,1,683583,25,2,2
399,1,683686,26,2,2
399,1,683797,27,2,2
399,1,683912,28,2,2
399,1,684164,29,2,2
399,1,684271,30,2,2
397,0,691376,41,6,6
399,1,684385,31,2,2
399,1,684508,32,2,2
397,0,691540,42,6,6
399,1,684729,33,2,2
397,0,691738,43,6,6
397,0,691953,44,6,6
397,0,692870,45,7,7
398,0,699189,27,3,3
398,0,699254,28,3,3
398,0,699328,29,3,3
398,0,699487,30,3,3
398,0,700478,31,4,4
