ID,weight,date-ymd,experiment_id,pool,group
393,22.83,2022-08-08,objective_2,2,Uncertainty
394,25.73,2022-08-08,objective_2,2,Uncertainty
395,24.8,2022-08-08,objective_2,2,Control
396,24.04,2022-08-08,objective_2,2,Control
397,26.08,2022-08-08,objective_2,2,Control
398,26.13,2022-08-08,objective_2,2,Uncertainty
399,24.23,2022-08-08,objective_2,2,Control
400,27.2,2022-08-08,objective_2,2,Uncertainty
393,22.83,2022-08-10,objective_2,2,Uncertainty
394,25.34,2022-08-10,objective_2,2,Uncertainty
395,23.76,2022-08-10,objective_2,2,Control
396,23.51,2022-08-10,objective_2,2,Control
397,25.43,2022-08-10,objective_2,2,Control
398,26.36,2022-08-10,objective_2,2,Uncertainty
399,23.29,2022-08-10,objective_2,2,Control
400,27.04,2022-08-10,objective_2,2,Uncertainty
393,22.1,2022-08-12,objective_2,2,Uncertainty
394,25.24,2022-08-12,objective_2,2,Uncertainty
395,23.31,2022-08-12,objective_2,2,Control
396,23.04,2022-08-12,objective_2,2,Control
397,25.61,2022-08-12,objective_2,2,Control
398,25.8,2022-08-12,objective_2,2,Uncertainty
399,22.9,2022-08-12,objective_2,2,Control
400,27.24,2022-08-12,objective_2,2,Uncertainty
393,22.53,2022-08-15,objective_2,2,Uncertainty
394,24.91,2022-08-15,objective_2,2,Uncertainty
395,24.25,2022-08-15,objective_2,2,Control
396,22.93,2022-08-15,objective_2,2,Control
397,25.75,2022-08-15,objective_2,2,Control
398,25.74,2022-08-15,objective_2,2,Uncertainty
399,23.32,2022-08-15,objective_2,2,Control
400,26.9,2022-08-15,objective_2,2,Uncertainty
393,22.62,2022-08-17,objective_2,2,Uncertainty
394,25.52,2022-08-17,objective_2,2,Uncertainty
395,24.67,2022-08-17,objective_2,2,Control
396,23.53,2022-08-17,objective_2,2,Control
397,25.85,2022-08-17,objective_2,2,Control
398,25.71,2022-08-17,objective_2,2,Uncertainty
399,23.84,2022-08-17,objective_2,2,Control
400,27.16,2022-08-17,objective_2,2,Uncertainty
393,22.18,2022-08-19,objective_2,2,Uncertainty
394,24.96,2022-08-19,objective_2,2,Uncertainty
395,24.65,2022-08-19,objective_2,2,Control
396,23.71,2022-08-19,objective_2,2,Control
397,26.64,2022-08-19,objective_2,2,Control
398,25.97,2022-08-19,objective_2,2,Uncertainty
399,23.91,2022-08-19,objective_2,2,Control
400,27.26,2022-08-19,objective_2,2,Uncertainty
393,22.06,2022-08-22,objective_2,2,Uncertainty
394,25.33,2022-08-22,objective_2,2,Uncertainty
395,24.71,2022-08-22,objective_2,2,Control
396,23.82,2022-08-22,objective_2,2,Control
397,26.45,2022-08-22,objective_2,2,Control
398,25.86,2022-08-22,objective_2,2,Uncertainty
399,24.08,2022-08-22,objective_2,2,Control
400,27.16,2022-08-22,objective_2,2,Uncertainty
217,28.48,2022-08-08,objective_2,1,Uncertainty
218,27.82,2022-08-08,objective_2,1,Control
219,28.15,2022-08-08,objective_2,1,Uncertainty
220,26.62,2022-08-08,objective_2,1,Control
